rank,name,url,gold_value,grand_total,value_ratio,error,gross_weight,metal_weight,stone_weight,length,width,thickness,rate,making_charges,gst,discount,subtotal,product_total
30,Studded And Detailed 22KT Gold Locket For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-locket-for-women-ngo-chlc-cod-s-l-p-24399759,142958.8,155390.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
31,Glamorously Detailed Ruby Studded 22KT Gold Bangles,https://www.bhimagold.com/products/glamorously-detailed-ruby-studded-22kt-gold-bangles-ngo-bgsb-rud-s-l-p-24405719,377082.24,409872.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
32,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-p-24411321,198972.08,216274.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
33,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-rud-s-l-p-24411346,205682.56,223568.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
34,Studded And Detailed 22KT Gold Locket For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-locket-for-women-ngo-chlc-cod-s-l-p-24411504,128442.12,139611.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
35,Antique Finished And Studded 22KT Gold Necklace,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-necklace-ngo-chnc-pcw-s-l-p-25785667,842092.56,915318.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
36,Ruby And Emerald Studded 22KT Gold Studs,https://www.bhimagold.com/products/ruby-and-emerald-studded-22kt-gold-studs-ngo-stse-cod-s-l-p-24418248,235724.24,256222.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
37,Ruby And Emerald Studded 22KT Gold Studs,https://www.bhimagold.com/products/ruby-and-emerald-studded-22kt-gold-studs-ngo-stse-cod-s-l-p-24418322,174726.4,189920.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
38,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-cod-s-l-p-24418368,65737.68,71454.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
39,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-p-24418459,289053.88,314189.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
40,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-bsd-s-l-p-24418478,509376.4,553670.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
41,Specially Crafted 22KT Gold Necklace,https://www.bhimagold.com/products/specially-crafted-22kt-gold-necklace-ngo-chns-cod-s-l-p-24418505,506599.84,550652.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
42,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-rud-s-l-p-24418530,179959.36,195608.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
43,Ruby And Emerald Studded 22KT Gold Choker,https://www.bhimagold.com/products/ruby-and-emerald-studded-22kt-gold-choker-ngo-chns-coc-s-l-p-25859448,811054.52,881581.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
44,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-rud-s-l-p-24421926,561061.08,609849.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
45,Ruby Studded And Detailed 22KT Gold Haaram,https://www.bhimagold.com/products/ruby-studded-and-detailed-22kt-gold-haaram-ngo-chfs-rud-s-l-p-24422104,747626.96,812638.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
46,Charmingly Detailed And Ruby Studded 22KT Gold Necklace,https://www.bhimagold.com/products/charmingly-detailed-and-ruby-studded-22kt-gold-necklace-ngo-chns-rud-s-l-p-24422805,434240.92,472001.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
47,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-rud-s-l-p-24422826,372062.72,404416.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
48,Ruby Studded And Detailed 22KT Gold Necklace,https://www.bhimagold.com/products/ruby-studded-and-detailed-22kt-gold-necklace-ngo-chns-rud-s-l-p-24422841,362184.68,393679.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
49,Ruby Studded And Detailed 22KT Gold Necklace,https://www.bhimagold.com/products/ruby-studded-and-detailed-22kt-gold-necklace-ngo-chns-rud-s-l-p-24422861,473593.0,514775.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
50,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-p-24422990,471984.84,513027.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
51,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-p-24424280,515728.08,560574.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
52,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-p-24424374,365910.68,397729.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
53,Beautifully Crafted 22KT Gold Necklace,https://www.bhimagold.com/products/beautifully-crafted-22kt-gold-necklace-ngo-chfs-cod-s-l-p-24427539,446802.6,485655.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
54,Studded And Detailed 22KT Gold Bangles For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-bangles-for-women-ngo-bgsb-p-s-63923,264726.32,287746.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
55,Antique Finished And Studded 22KT Gold Necklace,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-necklace-ngo-chnc-btc-s-l-ox-25893734,1344813.68,1461754.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
56,Blue Sapphire Studded 22KT Gold Locket,https://www.bhimagold.com/products/blue-sapphire-studded-22kt-gold-locket-ngo-chlc-bsd-s-l-na-25894505,168479.6,183130.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
57,Emerald Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/emerald-studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24447656,50619.32,55021.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
58,Emerald Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/emerald-studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24447986,49153.76,53428.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
59,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24447717,50449.12,54836.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
60,Emerald Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/emerald-studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-25858375,50441.76,54828.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
61,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24447972,49305.56,53593.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
62,Studded And Detailed 22KT Gold Bangles For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-bangles-for-women-ngo-bgsb-emd-s-l-na-25859433,322435.16,350473.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
63,Traditionally Crafted And Emerald Studded 22KT Gold Studs,https://www.bhimagold.com/products/traditionally-crafted-and-emerald-studded-22kt-gold-studs-ngo-stse-emd-s-l-p-24448167,38680.48,42044.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
64,Emerald Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/emerald-studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24448207,38720.96,42088.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
65,Emerald Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/emerald-studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24448351,40208.6,43705.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
66,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-rud-s-l-p-24448430,50064.56,54418.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
67,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-rud-s-l-p-24448605,52778.56,57368.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
68,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-rud-s-l-p-24448610,53580.8,58240.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
69,Charmingly Detailed And Studded 22KT Gold Studs,https://www.bhimagold.com/products/charmingly-detailed-and-studded-22kt-gold-studs-ngo-stse-emd-s-l-p-24448695,31118.08,33824.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
70,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24448833,39954.68,43429.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
71,Studded And Detailed 22KT Gold Studs For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-studs-for-women-ngo-stse-emd-s-l-p-24448863,34906.64,37942.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
72,Traditionally Crafted And Detailed 22KT Gold Drops For Women,https://www.bhimagold.com/products/traditionally-crafted-and-detailed-22kt-gold-drops-for-women-ngo-stdr-rsl-s-l-ox-25854243,392451.76,426578.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
73,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25894234,443490.6,482055.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
74,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25893500,710241.84,772002.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
75,Antique Finished And Studded 22KT Gold Peacock Haaram,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-peacock-haaram-ngo-chfc-btc-s-l-ox-25893631,2033451.16,2210273.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
76,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25893858,861627.84,936552.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
77,Antique Finished And Studded 22KT Gold Necklace,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-necklace-ngo-chnc-btc-s-l-ox-25893506,2177613.32,2366971.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
78,Antique Finished And Studded 22KT Gold Choker,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-choker-ngo-chkr-btc-s-l-ox-25893642,2735224.4,2973070.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
79,Antique Finished And Studded 22KT Gold Haaram,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-haaram-ngo-chfc-btc-s-l-ox-25894300,906023.36,984808.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
80,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25894162,314473.48,341819.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
81,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25894085,792594.72,861516.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
82,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25894432,360124.8,391440.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
83,Antique Finished And Studded 22KT Gold Bangles,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-bangles-ngo-bgbb-btc-s-l-ox-2628546,911248.96,990488.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
84,Exceptionally Detailed And Studded 22KT Gold Fancy Chain,https://www.bhimagold.com/products/exceptionally-detailed-and-studded-22kt-gold-fancy-chain-ngo-chfc-btc-s-l-ox-25893794,1558234.36,1693733.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
85,Antique Finished And Studded 22KT Gold Necklace,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-necklace-ngo-chnc-btc-s-l-ox-25894435,896547.36,974508.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
86,Charmingly Detailed And Antique Finished 22KT Gold Fancy Chain,https://www.bhimagold.com/products/charmingly-detailed-and-antique-finished-22kt-gold-fancy-chain-ngo-chfc-btc-s-l-ox-25248044,1206911.2,1311860.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
87,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25893971,428067.72,465291.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
88,Classic Antique Finished And Studded 22KT Gold Drops,https://www.bhimagold.com/products/classic-antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25248036,626665.36,681158.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
89,Antique Finished And Studded 22KT Gold Haaram,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-haaram-ngo-chfc-btc-s-l-ox-25893612,1152197.88,1252389.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
90,Antique Finished And Studded 22KT Gold Drops ,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-drops-ngo-stdr-btc-s-l-ox-25893513,299493.12,325536.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
91,Studded And Detailed 22KT Gold Haaram For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-haaram-for-women-ngo-chfs-cod-s-l-p-24484767,423486.12,460311.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
92,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-p-24484859,478194.84,519777.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
93,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-rud-s-l-p-24484991,495248.88,538314.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
